CISP,AISP,ano,mcirc,ocorrencias,qtde
23,3,2021,3304557,cmp,41
23,3,2021,3304557,cvli,15
23,3,2021,3304557,encontro_cadaver,1
23,3,2021,3304557,encontro_ossada,0
23,3,2021,3304557,estelionato,707
23,3,2021,3304557,estupro,9
23,3,2021,3304557,extorsao,13
23,3,2021,3304557,furto_bicicleta,7
23,3,2021,3304557,furto_celular,103
23,3,2021,3304557,furto_coletivo,49
23,3,2021,3304557,furto_transeunte,94
23,3,2021,3304557,furto_veiculos,116
23,3,2021,3304557,hom_culposo,5
23,3,2021,3304557,hom_doloso,12
23,3,2021,3304557,hom_por_interv_policial,1
23,3,2021,3304557,latrocinio,1
23,3,2021,3304557,lesao_corp_culposa,69
23,3,2021,3304557,lesao_corp_dolosa,231
23,3,2021,3304557,lesao_corp_morte,2
23,3,2021,3304557,letalidade_violenta,16
23,3,2021,3304557,pessoas_desaparecidas,19
23,3,2021,3304557,pol_civis_mortos_serv,0
23,3,2021,3304557,pol_militares_mortos_serv,0
23,3,2021,3304557,posse_drogas,17
23,3,2021,3304557,recuperacao_veiculos,70
23,3,2021,3304557,roubo_apos_saque,5
23,3,2021,3304557,roubo_banco,0
23,3,2021,3304557,roubo_bicicleta,2
23,3,2021,3304557,roubo_carga,8
23,3,2021,3304557,roubo_celular,165
23,3,2021,3304557,roubo_comercio,26
23,3,2021,3304557,roubo_conducao_saque,0
23,3,2021,3304557,roubo_cx_eletronico,2
23,3,2021,3304557,roubo_em_coletivo,56
23,3,2021,3304557,roubo_residencia,3
23,3,2021,3304557,roubo_rua,718
23,3,2021,3304557,roubo_veiculo,197
23,3,2021,3304557,sequestro,0
23,3,2021,3304557,sequestro_relampago,0
23,3,2021,3304557,trafico_drogas,5
23,3,2022,3304557,aaapai,12
23,3,2022,3304557,ameaca,149
23,3,2022,3304557,apf,91
23,3,2022,3304557,apreensao_drogas,8
23,3,2022,3304557,apreensao_drogas_sem_autor,0
23,3,2022,3304557,cmba,0
23,3,2022,3304557,cmp,20
23,3,2022,3304557,cvli,5
23,3,2022,3304557,encontro_cadaver,1
23,3,2022,3304557,encontro_ossada,0
23,3,2022,3304557,estelionato,795
23,3,2022,3304557,estupro,12
23,3,2022,3304557,extorsao,8
23,3,2022,3304557,furto_bicicleta,4
23,3,2022,3304557,furto_celular,103
23,3,2022,3304557,furto_coletivo,84
23,3,2022,3304557,furto_transeunte,60
23,3,2022,3304557,furto_veiculos,80
23,3,2022,3304557,hom_culposo,9
23,3,2022,3304557,hom_doloso,5
23,3,2022,3304557,hom_por_interv_policial,4
23,3,2022,3304557,latrocinio,0
23,3,2022,3304557,lesao_corp_culposa,80
23,3,2022,3304557,lesao_corp_dolosa,121
23,3,2022,3304557,lesao_corp_morte,0
23,3,2022,3304557,letalidade_violenta,9
23,3,2022,3304557,pessoas_desaparecidas,18
23,3,2022,3304557,pol_civis_mortos_serv,0
23,3,2022,3304557,pol_militares_mortos_serv,0
23,3,2022,3304557,posse_drogas,4
23,3,2022,3304557,recuperacao_veiculos,28
23,3,2022,3304557,roubo_apos_saque,1
23,3,2022,3304557,roubo_banco,1
23,3,2022,3304557,roubo_bicicleta,1
23,3,2022,3304557,roubo_carga,10
23,3,2022,3304557,roubo_celular,96
23,3,2022,3304557,roubo_comercio,19
23,3,2022,3304557,roubo_conducao_saque,0
23,3,2022,3304557,roubo_cx_eletronico,0
23,3,2022,3304557,roubo_em_coletivo,19
23,3,2022,3304557,roubo_residencia,2
23,3,2022,3304557,roubo_rua,380
23,3,2022,3304557,roubo_veiculo,190
23,3,2022,3304557,sequestro,0
